codigo_cnv,id_detalle_cnv,denominacion_cnv,verificado_por,curado_en
1230,83976,SBS RETORNO SUSTENTABLE FONDO COMÚN DE INVERSIÓN ASG,nombre,2026-08-23
1232,83890,DELTA SUSTENTABLE FONDO COMÚN DE INVERSIÓN ASG,nombre,2026-08-23
1234,84098,PIONERO DESARROLLO,nombre,2026-08-23
1235,84099,PIONERO RETORNO,nombre,2026-08-23
1238,83925,ALLARIA COBERTURA DINAMICA FCI,nombre,2026-08-23
1241,85470,MEGAQM ESTRATEGIA 3,nombre,2026-08-23
1243,83991,ALLARIA PATRIMONIO IV FCI,nombre,2026-08-23
1244,83992,ALLARIA PATRIMONIO V FCI,nombre,2026-08-23
1245,84032,Adcap Balanceado IV,nombre,2026-08-23
1246,84033,IOL CASH MANAGEMENT,nombre,2026-08-23
1247,85300,Adcap Balanceado V,nombre,2026-08-23
1248,84151,Schroder Liquidez F.C.I.,nombre,2026-08-23
1249,84066,SBS PATRIMONIO V FCI,nombre,2026-08-23
1250,84079,SBS PATRIMONIO VI FCI,nombre,2026-08-23
1251,84067,SBS ACCIONES BRASIL FCI,nombre,2026-08-23
1252,84068,SBS RENTA MIXTA III FCI,nombre,2026-08-23
1254,84141,BALANZ SOJA,nombre,2026-08-23
1258,84145,BALANZ EQUITY SELECTION,nombre,2026-08-23
1259,85288,NOVUS BALANCEADO FCI,nombre,2026-08-23
1260,85289,NOVUS RENTA BALANCEADO FCI,nombre,2026-08-23
1262,84152,GAINVEST RENTA MIXTA SUSTENTABLE FONDO COMÚN DE INVERSIÓN ASG,nombre,2026-08-23
1267,84209,FIMA CARTERA SUSTENTABLE FONDO COMUN DE INVERSION ASG,nombre,2026-08-23
1268,84208,FIMA MIX  II,nombre,2026-08-23
1269,85347,PELLEGRINI RENTA FIJA III FCI,nombre,2026-08-23
1271,84240,IAM RENTA GLOBAL,nombre,2026-08-23
1274,84223,GAINVEST BALANCEADO IV,nombre,2026-08-23
1275,84224,GAINVEST BALANCEADO V,nombre,2026-08-23
1276,84230,ADCAP FINANCIAMIENTO 1,nombre,2026-08-23
1277,84231,CONOSUR VISUS,nombre,2026-08-23
1279,85328,CYC LIQUIDEZ FCI,nombre,2026-08-23
1281,85373,Max Estrategico I FCI,nombre,2026-08-23
1282,85374,Max Estrategico II FCI,nombre,2026-08-23
1283,85375,Max Estrategico III FCI,nombre,2026-08-23
1284,85376,Max Estrategico IV FCI,nombre,2026-08-23
1285,85370,Max Abierto PyMEs FCI,nombre,2026-08-23
1286,85379,Max Renta Fija Dolares FCI,nombre,2026-08-23
1287,85377,Max Money Market FCI,nombre,2026-08-23
1288,85371,Max Ahorro Pesos FCI,nombre,2026-08-23
1289,85372,Max Cobertura FCI,nombre,2026-08-23
1290,85378,Max Renta Fija FCI,nombre,2026-08-23
1291,85309,BALANZ PERFORMANCE XI,nombre,2026-08-23
1292,85310,BALANZ PERFORMANCE XII,nombre,2026-08-23
1293,85311,BALANZ PERFORMANCE XIII,nombre,2026-08-23
1294,85312,BALANZ CRÉDITO PRIVADO,nombre,2026-08-23
1296,85297,ALLARIA DINÁMICO II FCI,nombre,2026-08-23
1297,85298,ALLARIA DINÁMICO III FCI,nombre,2026-08-23
1298,85299,ALLARIA DINÁMICO IV FCI,nombre,2026-08-23
1308,85399,ZOFINGEN MULTI STRATEGY II,nombre,2026-08-23
