raiz_emision,motivo
MIC6,"sin código en ARCA (nuestras especies: ['MIC6C', 'MIC6D', 'MIC6O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
MJC1,"sin código en ARCA (nuestras especies: ['MJC1C', 'MJC1D', 'MJC1O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
MR43,"sin código en ARCA (nuestras especies: ['MR43D', 'MR43O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
MR44,"sin código en ARCA (nuestras especies: ['MR44C', 'MR44D', 'MR44O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
MR46,"sin código en ARCA (nuestras especies: ['MR46C', 'MR46D', 'MR46O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
MR47,"sin código en ARCA (nuestras especies: ['MR47C', 'MR47D', 'MR47O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
MR48,"sin código en ARCA (nuestras especies: ['MR48C', 'MR48D', 'MR48O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
MR49,"sin código en ARCA (nuestras especies: ['MR49C', 'MR49D', 'MR49O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
MR50,"sin código en ARCA (nuestras especies: ['MR50C', 'MR50D', 'MR50O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
MTC2,"sin código en ARCA (nuestras especies: ['MTC2C', 'MTC2D', 'MTC2O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
MTC3,sin código en ARCA (nuestras especies: ['MTC3O']) — esperable si la emisión empezó a cotizar después del 31/12/2025
MUC4,sin código en ARCA (nuestras especies: ['MUC4D']) — esperable si la emisión empezó a cotizar después del 31/12/2025
NLCJ,sin código en ARCA (nuestras especies: ['NLCJO']) — esperable si la emisión empezó a cotizar después del 31/12/2025
NPCD,"sin código en ARCA (nuestras especies: ['NPCDC', 'NPCDD', 'NPCDO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
NPCE,"sin código en ARCA (nuestras especies: ['NPCEC', 'NPCED', 'NPCEO']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
NZC5,"sin código en ARCA (nuestras especies: ['NZC5C', 'NZC5D', 'NZC5O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
OLC7,"sin código en ARCA (nuestras especies: ['OLC7C', 'OLC7D', 'OLC7O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
OTS6,"sin código en ARCA (nuestras especies: ['OTS6C', 'OTS6D', 'OTS6O']) — esperable si la emisión empezó a cotizar después del 31/12/2025"
PECA,"ARCA trae la raíz con otro sufijo de liquidación (nuestras especies: ['PECAD']) — PECAO -> CUIT 30714814229 ('PETROLERA ACONCAGUA ENERGIA S.A.', 'ON PETRO.ACON.CL.10 V.28/02/27 US CG')"
PECJ,sin código en ARCA (nuestras especies: ['PECJO']) — esperable si la emisión empezó a cotizar después del 31/12/2025
