ticker_papel,nombre_largo,mercado_origen,sic_titulo,estrategia_etf,pais,fuente,verificado
JNJ,Johnson & Johnson,NYSE,Pharmaceutical Preparations,,,,
JOYY,JOYY Inc.,NASDAQ,Services-Computer Processing & Data Preparation,,,,
JPM,J.P. Morgan & Chase Co.,NYSE,National Commercial Banks,,,,
KB,Kb Financial Group Inc.,NYSE,"Commercial Banks, NEC",,,,
KEEL,Bitfarms Ltd.,NASDAQ GM,Finance Services,,,,
KEP,Korea Electric Power Corp.,NYSE,Electric Services,,,,
KGC,Kinross Gold Corp,NYSE,Gold and Silver Ores,,,,
KMB,Kimberly-Clark Corp.,NYSE,Converted Paper & Paperboard Prods (No Contaners/Boxes),,,,
KO,The Coca Cola Company,NYSE,Beverages,,,,
KOFM,"Coca-Cola Femsa, S.A.B. De C.V.",NYSE,,,,,
LAC,Lithium Americas Corp,NYSE,Metal Mining,,,,
LAR,Lithium Americas (Argentina) Corp,NYSE,Metal Mining,,,,
LLY,Eli Lilly and Company,NYSE,Pharmaceutical Preparations,,,,
LMT,Lockheed Martin Corporation,NYSE,Guided Missiles & Space Vehicles & Parts,,,,
LND,Brasilagro - Co Brasileira de Propriedades Agrícolas,NYSE,Agricultural Production-Crops,,,,
LRCX,Lam Research Corp,NASDAQ,"Special Industry Machinery, NEC",,,,
LRE3C,,,,,,,
LREN3,Lojas Renner S.A.,B3,,,,,
LVS,Las Vegas Sands Corp,NYSE,Hotels & Motels,,,,
LYG,Lloyds Banking Group Plc,NYSE,"Commercial Banks, NEC",,,,
MA,Mastercard Inc.,NYSE,"Services-Business Services, NEC",,,,
MBG,,,,,,,
MCD,Mcdonald'S Corp.,NYSE,Retail-Eating  Places,,,,
MDLZ,Mondelez,NASDAQ,Food and Kindred Products,,,,
MDT,Medtronic Public Limited Company,NYSE,Electromedical & Electrotherapeutic Apparatus,,,,
MELI,Mercadolibre Inc.,NASDAQ,"Services-Business Services, NEC",,,,
META,Meta Platforms Inc,NASDAQ,"Services-Computer Programming, Data Processing, Etc.",,,,
MFG,Mizuho Financial Group,NYSE,National Commercial Banks,,,,
MGL3C,,,,,,,
MGL3D,,,,,,,
MGLU3,Magazine Luiza S.A.,B3,,,,,
MMM,3M Company,NYSE,Surgical & Medical Instruments & Apparatus,,,,
MO,Altria Group Inc.,NYSE,Cigarettes,,,,
MOS,The Mosaic Co,NYSE,Agricultural Chemicals,,,,
MP,MP Materials Corp.,NYSE,Metal Mining,,,,
MRK,Merck & Co. Inc.,NYSE,Pharmaceutical Preparations,,,,
MRNA,Moderna Inc,NASDAQ,"Biological Products, (No Diagnostic Substances)",,,,
MRSH,"MARSH & MCLENNAN COMPANIES, INC.",,"Insurance Agents, Brokers & Service",,,,
MRVL,Marvell Technology Inc,NASDAQ,Semiconductors & Related Devices,,,,
MSFT,Microsoft Corp.,NASDAQ,Services-Prepackaged Software,,,,
MSI,"Motorola Solutions, Inc.",NYSE,Radio & Tv Broadcasting & Communications Equipment,,,,
